城市	日期	累计确诊	累计治愈	累计死亡
高新区	2020/6/30	4	4	0
鸡西	2020/6/30	46	46	0
鹤壁	2020/6/30	19	19	0
鹤岗	2020/6/30	5	5	0
鹰潭	2020/6/30	18	18	0
黄冈	2020/6/30	2907	2782	125
黄山	2020/6/30	9	9	0
黄浦区	2020/6/30	6	5	0
黄石	2020/6/30	1015	976	39
黑河	2020/6/30	14	14	0
黑龙江-境外输入	2020/6/30	386	386	0
黔东南州	2020/6/30	10	10	0
黔南州	2020/6/30	17	17	0
黔江区	2020/6/30	2	2	0
黔西南州	2020/6/30	4	4	0
齐齐哈尔	2020/6/30	43	42	1
龙岩	2020/6/30	6	6	0
